LF1,LF2,class
1.7262311,-1.3299273,beta_1_yule
-0.3648179,-2.4278388,beta_3_ab
0.9476777,0.00074484944,beta_3_ab
2.3076608,-0.013669014,beta_4_balanced
1.8406588,-1.5487541,beta_1_yule
-0.15428302,1.3766125,beta_5_unbalanced
2.3963995,1.0792224,beta_4_balanced
1.5422868,-1.5942082,beta_1_yule
2.1071706,-0.6074618,beta_1_yule
-1.0581641,1.3578044,beta_5_unbalanced
-2.2176187,-0.24106233,beta_2_pda
-1.5951802,-0.8443442,beta_2_pda
2.6427038,0.33075714,beta_4_balanced
1.5677187,-1.8799591,beta_3_ab
2.7848907,-0.17795043,beta_1_yule
3.204281,0.6570023,beta_4_balanced
-0.82180965,1.6388547,beta_5_unbalanced
-0.7299728,0.9325001,beta_5_unbalanced
2.5205986,1.2745585,beta_4_balanced
0.6323916,-2.2465572,beta_3_ab
-0.3686453,2.2507274,beta_5_unbalanced
-1.2412018,1.1719408,beta_5_unbalanced
-2.3414872,-0.47355044,beta_2_pda
-0.9768771,-2.0804234,beta_2_pda
-0.66019404,1.6150004,beta_5_unbalanced
-1.2635472,-0.56738865,beta_2_pda
0.56745386,-1.9270285,beta_3_ab
-1.9992752,-0.8921588,beta_2_pda
-0.376264,1.4141402,beta_5_unbalanced
0.2121608,-2.3658104,beta_3_ab
2.9438772,1.4227849,beta_4_balanced
2.2796302,-0.0017497167,beta_4_balanced
1.4124072,-1.7941631,beta_1_yule
2.2529783,-0.98093164,beta_1_yule
-1.9932728,-0.6167727,beta_2_pda
1.2091353,-2.127713,beta_1_yule
-0.9783987,1.5745085,beta_5_unbalanced
0.54554677,-1.9099098,beta_3_ab
-1.1227903,1.6482706,beta_5_unbalanced
2.578891,0.84707874,beta_4_balanced
0.044264436,1.3589737,beta_5_unbalanced
-0.3759759,-1.7192733,beta_3_ab
0.79980415,-1.9800658,beta_3_ab
-2.196067,-0.43295914,beta_2_pda
2.6706448,0.6775595,beta_4_balanced
2.0298042,-1.0868763,beta_1_yule
2.6688662,0.30917346,beta_4_balanced
-1.0614158,-1.3642565,beta_3_ab
